,year,fips,state,state_po,county,office,candidate,party,candidatevotes,totalvotes,version,democrat_candidate,democrat_votes,republican_candidate,republican_votes,green_candidate,green_votes,other_candidate,other_votes,dem_share,rep_share
12834,2016,13149,Georgia,GA,Heard,President,Hillary Clinton,democrat,743.0,4223,20191203,Hillary Clinton,743.0,Donald Trump,3370.0,,,Other,110.0,0.17594127397584655,0.7980108927302866
12835,2016,13151,Georgia,GA,Henry,President,Hillary Clinton,democrat,50057.0,98766,20191203,Hillary Clinton,50057.0,Donald Trump,45724.0,,,Other,2985.0,0.5068242107607881,0.46295283802118137
12836,2016,13153,Georgia,GA,Houston,President,Hillary Clinton,democrat,22553.0,60079,20191203,Hillary Clinton,22553.0,Donald Trump,35430.0,,,Other,2096.0,0.37538907105644237,0.5897235306845986
12837,2016,13155,Georgia,GA,Irwin,President,Hillary Clinton,democrat,891.0,3670,20191203,Hillary Clinton,891.0,Donald Trump,2716.0,,,Other,63.0,0.24277929155313352,0.7400544959128066
12838,2016,13157,Georgia,GA,Jackson,President,Hillary Clinton,democrat,4491.0,27190,20191203,Hillary Clinton,4491.0,Donald Trump,21784.0,,,Other,915.0,0.1651710187568959,0.8011769032732622
12839,2016,13159,Georgia,GA,Jasper,President,Hillary Clinton,democrat,1544.0,6045,20191203,Hillary Clinton,1544.0,Donald Trump,4360.0,,,Other,141.0,0.2554177005789909,0.7212572373862697
12840,2016,13161,Georgia,GA,Jeff Davis,President,Hillary Clinton,democrat,901.0,5096,20191203,Hillary Clinton,901.0,Donald Trump,4104.0,,,Other,91.0,0.17680533751962324,0.8053375196232339
12841,2016,13163,Georgia,GA,Jefferson,President,Hillary Clinton,democrat,3821.0,6968,20191203,Hillary Clinton,3821.0,Donald Trump,3063.0,,,Other,84.0,0.5483639494833524,0.4395809414466131
12842,2016,13165,Georgia,GA,Jenkins,President,Hillary Clinton,democrat,1123.0,3056,20191203,Hillary Clinton,1123.0,Donald Trump,1895.0,,,Other,38.0,0.36747382198952877,0.6200916230366492
12843,2016,13167,Georgia,GA,Johnson,President,Hillary Clinton,democrat,1136.0,3686,20191203,Hillary Clinton,1136.0,Donald Trump,2519.0,,,Other,31.0,0.3081931633206728,0.6833966359196961
12844,2016,13169,Georgia,GA,Jones,President,Hillary Clinton,democrat,3961.0,12551,20191203,Hillary Clinton,3961.0,Donald Trump,8305.0,,,Other,285.0,0.3155923830770457,0.6617002629272568
12845,2016,13171,Georgia,GA,Lamar,President,Hillary Clinton,democrat,2270.0,7612,20191203,Hillary Clinton,2270.0,Donald Trump,5190.0,,,Other,152.0,0.29821334734629534,0.6818181818181818
12846,2016,13173,Georgia,GA,Lanier,President,Hillary Clinton,democrat,806.0,2871,20191203,Hillary Clinton,806.0,Donald Trump,1984.0,,,Other,81.0,0.28073841866945315,0.6910484151863462
12847,2016,13175,Georgia,GA,Laurens,President,Hillary Clinton,democrat,6752.0,19530,20191203,Hillary Clinton,6752.0,Donald Trump,12411.0,,,Other,367.0,0.34572452636968765,0.635483870967742
12848,2016,13177,Georgia,GA,Lee,President,Hillary Clinton,democrat,3170.0,14143,20191203,Hillary Clinton,3170.0,Donald Trump,10646.0,,,Other,327.0,0.22413915010959484,0.7527398713144312
12849,2016,13179,Georgia,GA,Liberty,President,Hillary Clinton,democrat,9556.0,16143,20191203,Hillary Clinton,9556.0,Donald Trump,6134.0,,,Other,453.0,0.5919593631914761,0.3799789382394846
12850,2016,13181,Georgia,GA,Lincoln,President,Hillary Clinton,democrat,1273.0,4102,20191203,Hillary Clinton,1273.0,Donald Trump,2759.0,,,Other,70.0,0.310336421257923,0.6725987323256948
12851,2016,13183,Georgia,GA,Long,President,Hillary Clinton,democrat,1360.0,4117,20191203,Hillary Clinton,1360.0,Donald Trump,2626.0,,,Other,131.0,0.33033762448384746,0.6378430896283702
12852,2016,13185,Georgia,GA,Lowndes,President,Hillary Clinton,democrat,15064.0,37805,20191203,Hillary Clinton,15064.0,Donald Trump,21635.0,,,Other,1106.0,0.3984658114006084,0.572278799100648
12853,2016,13187,Georgia,GA,Lumpkin,President,Hillary Clinton,democrat,2220.0,12425,20191203,Hillary Clinton,2220.0,Donald Trump,9619.0,,,Other,586.0,0.17867203219315894,0.7741649899396378
12854,2016,13189,Georgia,GA,McDuffie,President,Hillary Clinton,democrat,3699.0,9268,20191203,Hillary Clinton,3699.0,Donald Trump,5432.0,,,Other,137.0,0.3991152352179543,0.5861027190332326
12855,2016,13191,Georgia,GA,McIntosh,President,Hillary Clinton,democrat,2303.0,5903,20191203,Hillary Clinton,2303.0,Donald Trump,3487.0,,,Other,113.0,0.3901406064712858,0.5907165847873962
12856,2016,13193,Georgia,GA,Macon,President,Hillary Clinton,democrat,2705.0,4287,20191203,Hillary Clinton,2705.0,Donald Trump,1540.0,,,Other,42.0,0.6309773734546302,0.3592255656636342
12857,2016,13195,Georgia,GA,Madison,President,Hillary Clinton,democrat,2425.0,11998,20191203,Hillary Clinton,2425.0,Donald Trump,9201.0,,,Other,372.0,0.20211701950325053,0.7668778129688282
12858,2016,13197,Georgia,GA,Marion,President,Hillary Clinton,democrat,1213.0,3190,20191203,Hillary Clinton,1213.0,Donald Trump,1921.0,,,Other,56.0,0.38025078369905957,0.6021943573667712
12859,2016,13199,Georgia,GA,Meriwether,President,Hillary Clinton,democrat,3804.0,9217,20191203,Hillary Clinton,3804.0,Donald Trump,5222.0,,,Other,191.0,0.41271563415428014,0.566561788000434
